Time(us),Sensor 1,Sensor 2
0,0.00,0.02
1,0.00,0.02
2,0.00,0.02
3,0.00,0.02
4,0.00,0.02
5,0.00,0.02
6,0.00,0.02
7,0.00,0.02
8,0.00,0.02
9,0.00,0.02
10,0.00,0.02
11,0.00,0.02
12,0.00,0.02
13,0.00,0.02
14,0.00,0.03
15,0.00,0.02
16,0.00,0.03
17,0.00,0.03
18,0.00,0.03
19,0.00,0.03
20,0.00,0.03
21,0.00,0.02
22,0.00,0.03
23,0.00,0.02
24,0.00,0.03
25,0.00,0.02
26,0.00,0.03
27,0.00,0.02
28,0.00,0.02
29,0.00,0.02
30,0.00,0.02
31,0.00,0.02
32,0.00,0.02
33,0.00,0.00
34,0.00,0.02
35,0.00,0.00
36,0.00,0.02
37,0.00,0.02
38,0.00,0.02
39,0.00,0.02
40,0.00,0.02
41,0.00,0.02
42,0.00,0.02
43,0.00,0.02
44,0.00,0.02
45,0.00,0.02
46,0.00,0.02
47,0.00,0.03
48,0.00,0.02
49,0.00,0.02
50,0.00,0.03
51,0.00,0.02
52,0.00,0.03
53,0.00,0.02
54,0.00,0.03
55,0.00,0.02
56,0.00,0.03
57,0.00,0.02
58,0.00,0.03
59,0.00,0.02
60,0.00,0.03
61,0.00,0.02
62,0.00,0.02
63,0.00,0.02
64,0.00,0.02
65,0.00,0.02
66,0.00,0.02
67,0.00,0.02
68,0.00,0.02
69,0.00,0.02
70,0.00,0.02
71,0.00,0.02
72,0.00,0.02
73,0.00,0.02
74,0.00,0.02
75,0.00,0.02
76,0.00,0.02
77,0.00,0.02
78,0.00,0.03
79,0.00,0.02
80,0.00,0.02
81,0.00,0.03
82,0.00,0.03
83,0.00,0.02
84,0.00,0.03
85,0.00,0.02
86,0.00,0.03
87,0.00,0.03
88,0.00,0.03
89,0.00,0.02
90,0.00,0.03
91,0.00,0.02
92,0.00,0.03
93,0.00,0.02
94,0.00,0.02
95,0.00,0.02
96,0.00,0.02
97,0.00,0.02
98,0.00,0.02
99,0.00,0.02
100,0.00,0.02
101,0.00,0.02
102,0.00,0.02
103,0.00,0.02
104,0.00,0.02
105,0.00,0.02
106,0.00,0.02
107,0.00,0.02
108,0.00,0.02
109,0.00,0.02
110,0.00,0.03
111,0.00,0.02
112,0.00,0.02
113,0.00,0.02
114,0.00,0.03
115,0.00,0.02
116,0.00,0.03
117,0.00,0.02
118,0.00,0.03
119,0.00,0.03
120,0.00,0.03
121,0.00,0.02
122,0.00,0.03
123,0.00,0.02
124,0.00,0.03
125,0.00,0.02
126,0.00,0.03
127,0.00,0.02
128,0.00,0.03
129,0.00,0.02
130,0.00,0.02
131,0.00,0.02
132,0.00,0.02
133,0.00,0.02
134,0.00,0.02
135,0.00,0.02
136,0.00,0.02
137,0.00,0.02
138,0.00,0.02
139,0.00,0.02
140,0.00,0.02
141,0.00,0.02
142,0.00,0.02
143,0.00,0.02
144,0.00,0.02
145,0.00,0.03
146,0.00,0.02
147,0.00,0.03
148,0.00,0.02
149,0.00,0.02
150,0.00,0.02
151,0.00,0.03
152,0.00,0.02
153,0.00,0.04
154,0.00,0.03
155,0.00,0.03
156,0.00,0.03
157,0.00,0.03
158,0.00,0.03
159,0.00,0.02
160,0.00,0.03
161,0.00,0.02
162,0.00,0.03
163,0.00,0.02
164,0.00,0.03
165,0.00,0.02
166,0.00,0.03
167,0.00,0.02
168,0.00,0.03
169,0.00,0.02
170,0.00,0.03
171,0.00,0.02
172,0.00,0.03
173,0.00,0.02
174,0.00,0.03
175,0.00,0.03
176,0.00,0.03
177,0.00,0.03
178,0.00,0.03
179,0.00,0.02
180,0.00,0.03
181,0.00,0.03
182,0.00,0.03
183,0.00,0.03
184,0.00,0.03
185,0.00,0.03
186,0.00,0.03
187,0.00,0.03
188,0.00,0.03
189,0.00,0.03
190,0.00,0.03
191,0.00,0.03
192,0.00,0.03
193,0.00,0.03
194,0.00,0.03
195,0.00,0.02
196,0.00,0.03
197,0.00,0.02
198,0.00,0.03
199,0.00,0.02
200,0.00,0.03
201,0.00,0.02
202,0.00,0.03
203,0.00,0.02
204,0.00,0.03
205,0.00,0.02
206,0.00,0.03
207,0.00,0.02
208,0.00,0.03
209,0.00,0.03
210,0.00,0.03
211,0.00,0.03
212,0.00,0.03
213,0.00,0.03
214,0.00,0.03
215,0.00,0.03
216,0.00,0.03
217,0.00,0.03
218,0.00,0.03
219,0.00,0.03
220,0.00,0.03
221,0.00,0.03
222,0.00,0.03
223,0.00,0.03
224,0.00,0.03
225,0.00,0.03
226,0.00,0.03
227,0.00,0.03
228,0.00,0.03
229,0.00,0.02
230,0.00,0.03
231,0.00,0.02
232,0.00,0.03
233,0.00,0.02
234,0.00,0.03
235,0.00,0.02
236,0.00,0.03
237,0.00,0.02
238,0.00,0.03
239,0.00,0.02
240,0.00,0.03
241,0.00,0.03
242,0.00,0.03
243,0.00,0.03
244,0.00,0.03
245,0.00,0.03
246,0.00,0.03
247,0.00,0.03
248,0.00,0.03
249,0.00,0.03
250,0.00,0.03
251,0.00,0.03
252,0.00,0.03
253,0.00,0.03
254,0.00,0.03
255,0.00,0.03
256,0.00,0.03
257,0.00,0.03
258,0.00,0.03
259,0.00,0.03
260,0.00,0.03
261,0.00,0.02
262,0.00,0.03
263,0.00,0.03
264,0.00,0.03
265,0.00,0.03
266,0.00,0.03
267,0.00,0.03
268,0.00,0.02
269,0.00,0.03
270,0.00,0.02
271,0.00,0.03
272,0.00,0.03
273,0.00,0.03
274,0.00,0.03
275,0.00,0.03
276,0.00,0.03
277,0.00,0.03
278,0.00,0.03
279,0.00,0.03
280,0.00,0.03
281,0.00,0.03
282,0.00,0.03
283,0.00,0.03
284,0.00,0.03
285,0.00,0.03
286,0.00,0.03
287,0.00,0.03
288,0.00,0.03
289,0.00,0.03
290,0.00,0.03
291,0.00,0.03
292,0.00,0.03
293,0.00,0.03
294,0.00,0.03
295,0.00,0.02
296,0.00,0.03
297,0.00,0.02
298,0.00,0.03
299,0.00,0.02
300,0.00,0.03
301,0.00,0.02
302,0.00,0.03
303,0.00,0.02
304,0.00,0.03
305,0.00,0.02
306,0.00,0.03
307,0.00,0.02
308,0.00,0.03
309,0.00,0.03
310,0.00,0.03
311,0.00,0.03
312,0.00,0.03
313,0.00,0.03
314,0.00,0.03
315,0.00,0.03
316,0.00,0.03
317,0.00,0.03
318,0.00,0.03
319,0.00,0.03
320,0.00,0.03
321,0.00,0.03
322,0.00,0.03
323,0.00,0.03
324,0.00,0.03
325,0.00,0.03
326,0.00,0.03
327,0.00,0.03
328,0.00,0.03
329,0.00,0.03
330,0.00,0.02
331,0.00,0.02
332,0.00,0.02
333,0.00,0.02
334,0.00,0.02
335,0.00,0.02
336,0.00,0.02
337,0.00,0.02
338,0.00,0.02
339,0.00,0.02
340,0.00,0.02
341,0.00,0.02
342,0.00,0.02
343,0.00,0.04
344,0.00,0.02
345,0.00,0.03
346,0.00,0.03
347,0.00,0.03
348,0.00,0.03
349,0.00,0.03
350,0.00,0.03
351,0.00,0.03
352,0.00,0.03
353,0.00,0.03
